epoch,accuracy,dice_coefficient,learning_rate,loss,mean_iou,val_accuracy,val_dice_coefficient,val_loss,val_mean_iou
0,0.6788676381111145,0.47268491983413696,9.999999747378752e-05,1.6592612266540527,0.3472934365272522,0.6353280544281006,0.5442922711372375,1.7442028522491455,0.3007412254810333
1,0.824004590511322,0.6926274299621582,9.999999747378752e-05,0.9696054458618164,0.5040262937545776,0.801512598991394,0.7323182225227356,0.9948642253875732,0.46551749110221863
2,0.8443913459777832,0.7538769841194153,9.999999747378752e-05,0.803096354007721,0.531832218170166,0.8033138513565063,0.7488893270492554,0.9558737874031067,0.4693789780139923
3,0.8548150062561035,0.7834721207618713,9.999999747378752e-05,0.7213382720947266,0.545319139957428,0.8104824423789978,0.7703050971031189,0.9188706278800964,0.48191335797309875
4,0.861942708492279,0.80042564868927,9.999999747378752e-05,0.6697021126747131,0.5554243326187134,0.8399816751480103,0.8032354116439819,0.7734915614128113,0.5212035179138184
5,0.8675317764282227,0.8121141195297241,9.999999747378752e-05,0.6325740218162537,0.5686222910881042,0.831344723701477,0.7961989641189575,0.807987630367279,0.5124471187591553
6,0.8733757734298706,0.8217470049858093,9.999999747378752e-05,0.6001903414726257,0.5892171263694763,0.8318931460380554,0.8001983761787415,0.7963849902153015,0.5168905258178711
7,0.8775506615638733,0.8289099931716919,9.999999747378752e-05,0.5770998001098633,0.6084414124488831,0.8581914305686951,0.8215457797050476,0.657719075679779,0.5694891810417175
8,0.8806701302528381,0.8340368866920471,9.999999747378752e-05,0.5595963001251221,0.6209741830825806,0.8530771136283875,0.821734607219696,0.6785272359848022,0.569061815738678
9,0.884708821773529,0.8404057025909424,9.999999747378752e-05,0.537908136844635,0.6314191818237305,0.8652209639549255,0.8345211744308472,0.6251749992370605,0.5899180769920349
10,0.8874801397323608,0.8451113104820251,9.999999747378752e-05,0.5229536294937134,0.64171302318573,0.8677374720573425,0.8389523029327393,0.610782265663147,0.5968674421310425
11,0.8897799849510193,0.8487845063209534,9.999999747378752e-05,0.5105762481689453,0.6486515402793884,0.8682653307914734,0.8405819535255432,0.6154419779777527,0.6037653088569641
12,0.892674446105957,0.8528516292572021,9.999999747378752e-05,0.4960898458957672,0.6574738621711731,0.8726043105125427,0.84120774269104,0.5927379131317139,0.6190935969352722
13,0.8945826292037964,0.8561541438102722,9.999999747378752e-05,0.4859459400177002,0.664112389087677,0.8743560314178467,0.8438398838043213,0.585501492023468,0.6170960068702698
14,0.8959314823150635,0.858751118183136,9.999999747378752e-05,0.47872278094291687,0.6675810217857361,0.8653866052627563,0.8369591236114502,0.614427924156189,0.6102765202522278
15,0.8978727459907532,0.8618087768554688,9.999999747378752e-05,0.46879932284355164,0.6733399629592896,0.860521137714386,0.8296574354171753,0.6479980945587158,0.5911382436752319
16,0.8992872834205627,0.8636378645896912,9.999999747378752e-05,0.46103549003601074,0.6773701310157776,0.8792970180511475,0.8540708422660828,0.5550504922866821,0.6318386197090149
17,0.9005378484725952,0.8660535216331482,9.999999747378752e-05,0.45344603061676025,0.6803855299949646,0.8822662830352783,0.8573189377784729,0.5471112728118896,0.6322401762008667
18,0.9017820358276367,0.8675631284713745,9.999999747378752e-05,0.44684407114982605,0.6829254627227783,0.8798975348472595,0.8500112891197205,0.5419761538505554,0.6371693015098572
19,0.9020812511444092,0.8684999942779541,9.999999747378752e-05,0.4449578523635864,0.686331033706665,0.8758123517036438,0.8514319658279419,0.5655039548873901,0.6234101057052612
20,0.9042467474937439,0.8712369203567505,9.999999747378752e-05,0.4347531199455261,0.6905544400215149,0.8821080327033997,0.8557367324829102,0.5200721025466919,0.6430090069770813
21,0.9053546786308289,0.8730972409248352,9.999999747378752e-05,0.42811867594718933,0.6941941976547241,0.8874861598014832,0.8568242192268372,0.5167309045791626,0.6526367664337158
22,0.9058926701545715,0.8736842274665833,9.999999747378752e-05,0.4247724413871765,0.6963329315185547,0.8844406008720398,0.864635169506073,0.5586079359054565,0.644011378288269
23,0.9073478579521179,0.8759351372718811,9.999999747378752e-05,0.4182393550872803,0.6985377073287964,0.8871956467628479,0.8630526661872864,0.5268049240112305,0.6482230424880981
24,0.9082515239715576,0.8775753974914551,9.999999747378752e-05,0.41244810819625854,0.7016226649284363,0.8824191093444824,0.8589158058166504,0.5535966157913208,0.6391610503196716
25,0.908842921257019,0.8782697916030884,9.999999747378752e-05,0.40953394770622253,0.7032204866409302,0.8881328105926514,0.865175187587738,0.5230169892311096,0.6537464261054993
26,0.9097753167152405,0.8795844316482544,9.999999747378752e-05,0.4046289920806885,0.7065552473068237,0.8893676996231079,0.8645939826965332,0.5100189447402954,0.6586514115333557
27,0.9110356569290161,0.8815003037452698,9.999999747378752e-05,0.3989958167076111,0.7102107405662537,0.8874090909957886,0.8623838424682617,0.5291657447814941,0.6566566824913025
28,0.9110898375511169,0.88136887550354,9.999999747378752e-05,0.39810457825660706,0.7104093432426453,0.8921300172805786,0.8652747273445129,0.4793587625026703,0.6643828749656677
29,0.9118946194648743,0.8826208710670471,9.999999747378752e-05,0.39471355080604553,0.7118078470230103,0.8913447856903076,0.8650380373001099,0.514902651309967,0.664017379283905
30,0.9127561450004578,0.8839567303657532,9.999999747378752e-05,0.3896164298057556,0.7144988775253296,0.8856885433197021,0.8613623380661011,0.5431539416313171,0.6609458923339844
31,0.913891613483429,0.8853510618209839,9.999999747378752e-05,0.38346174359321594,0.7184247374534607,0.8941225409507751,0.8733125329017639,0.4985125660896301,0.6744725108146667
32,0.9144466519355774,0.8860305547714233,9.999999747378752e-05,0.38180011510849,0.7201371788978577,0.8939529061317444,0.8715338110923767,0.5044400095939636,0.6682178974151611
33,0.9150874018669128,0.8871601819992065,9.999999747378752e-05,0.3777291774749756,0.7212295532226562,0.8953992128372192,0.8718718886375427,0.49593013525009155,0.6749017238616943
34,0.9182978868484497,0.8910864591598511,4.999999873689376e-05,0.3622920513153076,0.7295163869857788,0.8921810388565063,0.869176983833313,0.509499192237854,0.6677573919296265
35,0.9191513061523438,0.8924290537834167,4.999999873689376e-05,0.35851266980171204,0.7309606671333313,0.8948155045509338,0.8731297850608826,0.5092061758041382,0.6758755445480347
36,0.9197741746902466,0.8931720852851868,4.999999873689376e-05,0.35548102855682373,0.7339673638343811,0.8944072723388672,0.8722895383834839,0.49617668986320496,0.6747450828552246
37,0.9196812510490417,0.8933565616607666,4.999999873689376e-05,0.35531365871429443,0.7335080504417419,0.8942300081253052,0.8749263286590576,0.5227862596511841,0.6739068031311035
38,0.920606791973114,0.894292414188385,4.999999873689376e-05,0.3507416546344757,0.7347161173820496,0.8967326283454895,0.8762595653533936,0.48721635341644287,0.6782479882240295
