accuracy,dice_coefficient,loss,mean_iou,val_accuracy,val_dice_coefficient,val_loss,val_mean_iou,learning_rate
0.7050185203552246,0.49092012643814087,1.5644184350967407,0.3758038878440857,0.6241717338562012,0.5403482913970947,1.776417851448059,0.24183940887451172,9.999999747378752e-05
0.8303055167198181,0.7106748819351196,0.9120270609855652,0.5140981078147888,0.7391893267631531,0.6820633411407471,1.2150365114212036,0.3995443880558014,9.999999747378752e-05
0.8485463261604309,0.7645342350006104,0.7723093628883362,0.5383337736129761,0.7731714844703674,0.7259454727172852,1.0729100704193115,0.44255805015563965,9.999999747378752e-05
0.8585332036018372,0.7911414504051208,0.6992623805999756,0.5515578985214233,0.7879294157028198,0.7494308948516846,0.9819280505180359,0.4613969027996063,9.999999747378752e-05
0.8652501106262207,0.8067225217819214,0.6521668434143066,0.5613192319869995,0.7827447652816772,0.7485759854316711,1.0092116594314575,0.45652127265930176,9.999999747378752e-05
0.8699190616607666,0.8165677785873413,0.6200823783874512,0.5710588693618774,0.8104250431060791,0.776839554309845,0.869468092918396,0.4877822995185852,9.999999747378752e-05
0.8758918046951294,0.8264753818511963,0.5873610973358154,0.5927178263664246,0.8236423134803772,0.78611820936203,0.8028327226638794,0.50882887840271,9.999999747378752e-05
0.8801607489585876,0.8324909806251526,0.566364586353302,0.612646758556366,0.8401093482971191,0.8069778084754944,0.739475429058075,0.5422256588935852,9.999999747378752e-05
0.8817517161369324,0.8363379836082458,0.5554246306419373,0.6231452226638794,0.8496941328048706,0.8173800110816956,0.6865496039390564,0.5517333745956421,9.999999747378752e-05
0.8862696290016174,0.8431664109230042,0.5316206216812134,0.6325960159301758,0.8531464338302612,0.8219228386878967,0.6754067540168762,0.5611114501953125,9.999999747378752e-05
0.8888177871704102,0.8472747206687927,0.5168061256408691,0.6422903537750244,0.8680737018585205,0.8358694911003113,0.608617901802063,0.6035146713256836,9.999999747378752e-05
0.8917031288146973,0.8514662981033325,0.504087507724762,0.650744616985321,0.8644040822982788,0.8343924880027771,0.6174452304840088,0.5950448513031006,9.999999747378752e-05
0.8933440446853638,0.854209303855896,0.4938107132911682,0.6566879749298096,0.8675269484519958,0.8415462970733643,0.6191208362579346,0.6026259660720825,9.999999747378752e-05
